ID1,merge,X3,X4
A69457629,0.16/1.95,2.92,2.38
A1a928512,1.37/2.39,1.46,4.51
A8eb8f0a3,0.15/1.29,3.69,4.49
Aa7e8fef8,0.72/2.42,2.73,3.35
Ae7e15e3c,1.12/1.58,3.84,2.08
A60d66a54,1.4/2.09,3.37,5.12
A93df0f20,0.35/0.73,6.08,5.4
Ab96ce038,1.01/2.17,1.46,3.64
A64bd117b,0.06/0.31,4.13,3.83
A68f68fb4,1.07/2.17,3.18,3.63
A59ed0527,2.86/1.64,3.72,5.34
Ae1dce7c1,-0.02/1.6,2.59,3.96
A8eb5379d,1.79/2.98,1.81,3.07
Af0a2545b,2.64/1.9,3.77,2.87
A25b9dcd5,1.19/0.73,3.63,3.66
Aed03994e,1.45/1.08,3.38,3.64
Afb5cabe3,2.08/1.08,2.03,4.13
A15d7526c,-0.1/2.73,3,3.46
A87c5eeea,1.17/2.4,3.57,1.74
A7f4227b0,2.39/1.1,4.08,3.33
A24101c4b,1.77/1.37,1.57,4.63
A13f82dc3,1.35/1.43,3.73,2.78
Aa3f1cbba,0.22/1.58,3.37,3.17
A36731925,1.67/2.72,3.93,4.62
A99848b57,1.1/1.83,4.36,3.56
A8ae3ceae,2.46/1.67,3.03,4.31
Aa5408ddc,-0.03/1.41,2.49,2.65
Aee813eb0,-0.78/2.35,3.24,5.12
A00021885,1.32/2.1,3.74,4.87
A7b67c3cc,1/3.57,3.18,4.87
Ad0080e30,1.17/1.92,2.95,4.61
A121ded72,1.08/3.64,2.55,5.64
A2cfd7b2e,1.58/1.99,5.03,6.13
A1cbc4c51,1.9/3.28,1.83,4.48
Af66276fa,0.06/2.58,4.03,4.22
Aa5112a44,-0.06/0.63,4.64,5.75
Ad95e79a0,0.51/1.56,4.13,6.36
A4ae444b4,-1.25/2.48,4.43,4.07
A799ed2c9,-0.43/4.98,3.52,6.17
A0bff4d8e,2.04/0.53,4.73,4.96
A2a123841,1.6/3.04,3.58,4.19
A64007104,1.8/2.27,2.93,3.81
A6e10803b,0.09/1.28,3.61,1.94
Ab71e973d,1.5/-0.35,3.67,4.01
A87aa67dd,0.48/2.11,1.95,5.85
Ae7f5a35d,-0.48/1.61,2.71,4.48
A5a9cf1b9,1.45/0.67,1.97,3.68
A9f47c856,1.45/1.61,2.73,4.15
A5cadd236,0.61/2.48,2.48,2.63
A88b2a358,0/1,2.41,4.84
Ab6475a3e,0.96/3.34,5.17,4.67
A60660736,-1.14/2.36,2.88,4.14
Aa049625a,0.44/0.17,3.64,3.61
Afd147dc6,0.73/2.48,2.54,3.56
Ab2cb2bfd,-0.02/3.86,3.69,3.18
Ab9baeff9,1.57/3.96,4.21,3.37
A01f2c371,1.12/2.99,3.13,3.98
Ad667809b,1.32/0.55,5.14,1.67
Aeed219ae,2.46/0.42,2.82,4.25
Abca2b6bf,1.12/2.11,3.21,2.28
A6c50eb13,0.21/1.39,3.29,4.55
A3cf2f911,-0.01/2.7,1.74,2.41
A771a5f2e,1.52/1.79,1.49,3.84
A39ece3db,0.88/2.25,2.54,6.36
A5c8c0c46,1.01/2.44,1.99,3.78
A9e3ed32e,0.55/2.4,2.58,4.31
Af884023f,1.37/0.99,2.04,4.23
A8655b132,-0.09/1.65,3.11,5.96
A7f720cb5,-1.45/1.68,3.05,4.46
A609a9410,0.4/2.52,2,3.16
Aaa987df3,0.5/2.43,1.67,5.37
Ac11fd8c4,1.98/1.4,4.3,4.17
A0612af21,1.4/1.72,3.33,5.12
A6a39c277,0.45/0.65,3.74,3.34
A63f0e89e,2.18/2.41,3.49,3.02
A35e3fa33,0.68/3.77,3.75,5.84
Adfff5857,1.48/2.52,2.6,3.74
A88841cb3,0.97/1.58,2.99,3
A0956d890,1.11/2.26,3.26,3.83
Aa36fe772,1.29/0.83,2.14,3.04
A6d653072,1.53/1.73,1.65,3.2
Ac9a782c3,-0.07/2.78,4.68,4.4
A5e1a4766,0.97/2.86,3.38,4.5
A71afb814,0.36/1.95,3.25,3.93
A56c294ce,2.44/0.87,4.21,4.14
A8d93926a,0.99/2.65,2.88,3.65
A582d5a4f,0.93/3.5,2.03,2.03
Aefec8d74,-0.07/3.91,1.76,3.84
Ae7f74e5a,1.02/2,1.28,2.66
A2c99cadd,1.93/2.74,3.94,2.78
Ad7681a35,1.64/1.9,2.93,3.52
Aa9d3ff8d,2.25/3.91,2.9,4.11
Aabf1bcb6,0.86/4.1,3.25,3.69
A204e22a0,0.44/0.82,5,4.99
Ab9065b6c,0.36/1.43,4.62,4.82
Af0a0aab8,1.74/3.36,4.54,5.22
A124a37d2,-0.22/4.07,2.42,4.19
A84b0a1d9,-1.32/1.79,5.21,4.81
Ad582722d,0.11/2.98,3.25,3.13
Ad8eaafaa,2.42/0.52,3.92,3.91
Afeb75cf1,1.61/2.05,1.51,4.44
A89ca1e8f,1.24/2.81,1.96,3.95
A47ad762b,0.53/3.56,3.75,4.69
Aa915c995,0.51/2.51,3.52,3.28
A8d7f1a07,0.58/3.37,2.78,3.18
A17250bb7,0.09/1.63,4.18,4.71
Accbd0ff4,2.12/0.81,2.6,2.41
Af45b85f7,0.13/1.65,2.13,3.04
A263bba8a,3.24/0.33,3.66,3.88
A312b7a9e,1.38/3.1,3.74,4.82
A1a8c1441,0.51/1.89,2.88,5.1
A856e7468,0.85/2.45,1.94,5.39
A1f528759,-0.25/2.33,3.23,1.57
A048abdcf,0.54/1.36,3.01,5.7
A32213e8a,0.84/1.53,2.71,3.98
A090e9134,0.26/0.22,2.35,3.66
A07496959,0.43/2.22,2.29,4.32
A39c97b08,1.58/1.31,3.93,4.2
Ab0b7709d,-0.56/0.35,3.46,3.14
A2817ea86,-0.35/2.55,2.86,2.81
A88cc6925,1.71/1.22,3.91,4.24
A3e56bfd2,0.3/3.22,4.42,3.11
A4be128f1,1.48/2.07,4.74,3.78
A5588c47f,1.64/0.77,3.54,3.08
A0d8a1484,1.42/1.81,4.25,4.64
A5963b037,0.47/1.76,2.51,1.64
A1374bbb0,-0.21/3.49,2.28,5.72
A84426fae,-1.04/3.65,3.67,3.51
Ae4354c60,2.01/2.49,3.98,5.33
A98df1049,1.06/1.05,4.45,4.96
Af8fc9752,1.28/1.87,3.19,5.51
A4cf0f46b,2.1/2.64,0.93,5.28
A4175cda4,-0.62/2.54,1.81,4.09
A40a5518d,1.95/2.33,2.05,4.64
A19ab1e76,1.98/1.56,2.68,3.58
A5f91dd71,0.86/1.44,1.77,5.74
Aa7400081,0.4/0.03,4.04,5.31
A79b73b49,2.66/2.88,4.3,3.18
A422aaee4,-0.03/1.71,3.5,3.27
Aa016f1a8,1.34/3.13,2.47,5.65
Ae4f2680e,1.4/1.5,2.04,2.88
A0a72b92e,0.36/1.08,3.69,5.2
Ad62bf0f7,-0.28/1.82,3.57,4.45
Ab1d907c3,1.03/1.99,3.13,4.91
A92a981da,0.64/0.18,3.42,3.54
A222b2d83,1.09/1.61,1.9,3.95
A32e9a243,1.8/2.85,1.4,4.89
A5fe06e04,1.17/2.18,2.62,3.74
Bd9131ee9,2.83/1.35,2.48,6.51
B9c5988ea,1.63/3.69,3.31,3.91
B28a5479d,1.64/1.6,1.58,3
Baf5537cc,0.34/2.45,1.86,4.29
B370958bd,2.06/4.12,3.3,3.62
Bea997e13,-0.12/2.9,4.06,4.38
B3563646f,-1.33/1.24,2.61,3.85
B9b3cfdba,1.06/-0.19,4.09,4.45
B32b6737a,0.73/2.27,3.27,3.96
B30e96748,1.05/1.69,4.31,2.84
B7dd233f9,1.28/2.04,4.97,4.86
Bfca2f470,0.69/1.59,3.65,3.42
Bd4959020,0.02/2.49,4.74,4.69
B789f32a4,1.17/1.57,3.16,2.16
Bbedf5b36,1.21/1.55,4.17,4.35
B05582fba,0.46/2.8,3.32,6.28
Ba976f585,1.87/2.24,2.67,4.48
B59e5808a,0.47/1.3,1.74,3.68
Bf3f55603,-0.5/4.13,4.02,4.87
B6d20803d,1.53/2.3,4.06,5.53
B690671d8,1.99/3.8,3.13,3.56
Bf8a97049,3.07/2.71,3.88,5.31
B64a7ccde,1.71/1.75,2.49,4.93
B521ca32c,0.34/2.96,4,4.63
B46fd1e49,1.35/1.18,2.39,3.53
B9517ecf8,1.99/3.06,3.3,4.3
B520c9b4d,-0.3/2.51,1.9,4.27
B5d130d1e,0.68/1.16,3.38,3.61
Bf653812d,2.37/1.51,3.79,5.12
B6659ac2c,1.04/2.13,6.03,4.87
Bed69d2d2,1.02/0.66,3.19,2.36
B54debc74,0.75/1.24,2.78,3.86
B9eb627e2,2.11/3.46,3.64,3.69
B650ddad8,0.47/1.84,1.7,4.77
B5ed05d74,2.14/3.07,3.98,4.12
B9d9c7a23,0.08/1.19,3.4,4.39
Bc14eab0a,1.13/0.79,2.65,3.72
B15852371,0.86/1.64,2.31,4.36
Bb9dbbcaa,0.62/2.84,3.67,5.05
B8800cd50,0.63/2.77,1.63,5.11
B13d1c7ec,1.03/1.63,3.8,3.44
Bc393511f,0.99/2.35,2.96,3.9
B964e53a6,1.46/2.66,4.2,5.85
B9e13ae46,-0.58/2.24,3.78,3.79
Bfe7b6b8a,0.35/2.95,3.3,5.17
B1a2ee361,1.04/2.71,4.43,4.36
B20039d82,0.29/0.38,3.63,3.97
Bd253386c,1.06/2.09,2.19,3.23
B07067f70,-0.55/2.92,2.71,2.82
B914f2b19,1.93/1.85,1.64,3.72
B96ae8f9a,2.24/1.69,2.15,3.57
B1eccb286,-0.3/1.22,2.25,4.85
B31d59c48,0.87/2.48,4.3,3.52
B4c0d3b4e,0.21/2.98,2.39,2.8
B24553b07,0.14/2.04,2.03,6.3
B142871d2,0.8/1.28,2.35,2.9
B069ae593,0.03/1.73,2.68,3.84
B4eb83053,1/1.79,2.76,5.9
Be5215245,0.91/1.95,2.84,3.41
B8f55fe97,0.92/0.34,2.3,4.39
B51d2776c,0.45/2.37,3.26,3.47
Beb2419b4,0.57/1.89,3.59,3.06
Bdb01ec07,0.97/2.69,2.39,2.76
B35fecb17,0.66/1.37,2.05,2.76
B63bcab07,0.07/1.74,2,4.42
Ba1e67692,0.85/2.32,3.02,2.85
Badb58152,1.51/2.58,2.53,2.69
B68505682,2.41/1.57,3.89,4.06
B6385c43b,1.53/2.29,2.72,4.67
B541b1455,2.42/4.23,2.92,3.68
Bf8964579,0.95/1.41,1.52,3.31
B640f58dc,2.09/2.75,4.06,4.36
B66934ac0,-1.25/1.97,4.09,2.97
B73b3b08f,-0.97/1.41,5.24,3.79
B6f03005d,1.19/2.88,1.74,2.65
B0a451d97,0.71/1.93,0.86,3.01
B76210601,0.67/1.19,2.4,4.09
Bc8b4476f,3.89/3.76,3.18,4.36
B836406ef,1.61/3.62,3.58,4.99
Bee9f2101,0.77/2.07,5.6,4.6
B9d853f4d,1.98/2.3,3.8,3.49
B92381c2f,-0.53/-0.25,3.25,4.85
B7d605343,-0.48/1.93,2.69,3.7
B263156da,1.37/2.36,2.45,4.48
B45f21eea,0.66/3.11,3.16,5.26
Bae37a5f2,0.12/3.18,3.05,3.32
Be5297345,1.99/1.31,4.42,3.41
Baaff23b6,1.31/1.6,3.89,3.37
Ba4962bed,1.28/3.59,3.05,4.79
B1f1aa1ff,0.28/2.73,1.05,3.84
Bf468bd45,2.24/2.06,2.61,4.08
B1e81765f,0.75/1.43,3.31,4.18
B28d42d9b,-0.41/1.69,3,3.03
B1c5fb59a,0.18/1.89,2.53,4.51
B1505c004,-0.4/0.89,1.82,4.36
Bbe25fe4c,2.16/1.74,4.37,3.46
Bcc7d9084,2.22/-1.22,2.89,2.34
Bcc3aeb7c,1.6/0.93,3.91,4.11
B60258ecd,-0.32/1.3,1.89,3.86
Bf6ef7535,1.36/1.71,2.35,4.42
B16c3ea4d,0.43/1.82,3.18,4.26
Bb1ea68d4,2/1.24,3.56,3.87
B69457629,-0.63/2.25,3.41,4.11
B1a928512,0.33/1.45,2.88,4.02
B8eb8f0a3,2.83/1.91,4.89,4.87
Ba7e8fef8,2.83/2.92,1.29,3.55
Be7e15e3c,2.43/0.84,2.78,3.18
B60d66a54,0.65/0.7,3.38,4.34
B93df0f20,1.62/1.24,2.91,5.17
Bb96ce038,2.14/1.49,3.02,3.37
B64bd117b,0.63/3.74,1.03,5.14
B68f68fb4,-0.16/2.68,3.85,4.66
B59ed0527,0.61/1.88,3.53,2.45
Be1dce7c1,2.13/2.1,2.93,3.42
B8eb5379d,-1.88/2.58,1.9,5.07
Bf0a2545b,-0.22/2.02,2.17,4.55
B25b9dcd5,1.02/2.9,4.74,3.4
Bed03994e,-0.8/0.61,2.84,3.87
Bfb5cabe3,1.11/2.16,4.4,2.85
B15d7526c,1/2.85,1.23,3.75
B87c5eeea,1.42/3.32,2.92,1.43
B7f4227b0,2.59/1.6,3.77,3.13
B24101c4b,1.32/1.71,1.61,3.14
B13f82dc3,1.39/1.09,3.09,4.29
Ba3f1cbba,1.74/3,2,4.66
B36731925,0.65/2.22,3.81,3.25
B99848b57,1.72/3.54,3.14,4.11
B8ae3ceae,2.13/3.55,3.89,4.28
Ba5408ddc,-1.19/3.46,1.76,3.81
Bee813eb0,1.31/2.63,2.99,4.15
B00021885,1.3/1.63,1.84,4.76
B7b67c3cc,0.11/2.74,2.98,3.24
Bd0080e30,2.09/2.35,2.68,4.36
B121ded72,0.64/1.75,4.3,5.5
B2cfd7b2e,1.58/1.72,3.32,4.62
B1cbc4c51,3.07/2.04,3.29,2.33
Bf66276fa,1.61/1.71,3.03,2.71
Ba5112a44,1.13/2.85,2.76,5.03
Bd95e79a0,1.98/2.01,4.57,3.8
B4ae444b4,0.93/3.44,3.54,3.11
B799ed2c9,0.56/2.76,2.71,4.36
B0bff4d8e,0.56/1.22,3.96,3.06
B2a123841,1.8/2.98,3.79,3.74
B64007104,-0.54/2.21,1.96,4.17
B6e10803b,0.81/1.88,4.17,4.91
Bb71e973d,1.75/0.89,2.53,6.4
B87aa67dd,1.44/2.96,2.33,2.6
Be7f5a35d,3.49/4.59,4.66,2.3
B5a9cf1b9,0.55/1.31,3.54,5.76
B9f47c856,2.62/1.85,4.08,3.76
B5cadd236,-1.57/0.55,4.06,3.84
B88b2a358,0.2/0.84,2.26,3.62
Bb6475a3e,-0.61/2.64,3.25,3.6
B60660736,-0.83/1.73,2.62,5.38
Ba049625a,0.07/1.97,2.87,3.82
Bfd147dc6,-0.16/1.18,3.36,2.97
Bb2cb2bfd,-0.38/2.56,3.17,4.15
Bb9baeff9,-0.72/3.05,3.48,2.94
B01f2c371,1.51/1.55,2,3.81
Bd667809b,0.95/1.74,3.72,4.35
Beed219ae,-0.71/2.08,3.98,4.17
Bbca2b6bf,0.62/2.21,2.62,4.37
B6c50eb13,-0.04/2.44,3.32,3.51
B3cf2f911,2.05/1.36,3.35,3.72
B771a5f2e,1.44/3.09,4.38,5.01
B39ece3db,0.69/1.51,3.79,4.26
B5c8c0c46,2.97/0.64,3.91,3.87
B9e3ed32e,2.31/2.12,3.13,3.8
Bf884023f,1.32/0.68,1.95,4.92
B8655b132,0.57/2.6,4.14,3.87
B7f720cb5,1.89/1.34,2.83,4.72
B609a9410,-0.14/0.18,3.23,5.79
Baa987df3,0.73/0.55,3.65,3.02
Bc11fd8c4,0.54/1.47,3.58,1.94
B0612af21,1.66/1.28,1.36,1.82
B6a39c277,1.75/3.17,2.39,4.39
B63f0e89e,1.71/1.93,3.91,4.62
B35e3fa33,1.27/1.52,4.68,5.89
Bdfff5857,1.73/1.96,3.88,3.19
B88841cb3,-1.13/-0.79,2.95,4.72
B0956d890,1.21/1.87,1.66,5.2
Ba36fe772,0.18/1.72,2.98,3.85
B6d653072,0.61/2.27,2.98,3.84
Bc9a782c3,-0.71/3.03,1.96,3.96
B5e1a4766,0.52/1.1,0.77,4.3
B71afb814,1.43/2.62,4.31,3.67
B56c294ce,0.65/2.28,2.88,4.46
B8d93926a,2.27/1.21,2.16,6.07
B582d5a4f,2.54/2.08,3.66,4.05
Befec8d74,-0.29/1.53,2.98,3.38
Be7f74e5a,0.88/2.63,3.62,4.15
B2c99cadd,1.97/3.31,2.65,4.42
Bd7681a35,0.41/2.92,3.39,3.84
Ba9d3ff8d,1.72/1.75,1.96,3.53
Babf1bcb6,1.04/1.19,4.54,4.73
B204e22a0,2.52/2.15,2.5,3.11
Bb9065b6c,0.5/4.34,1.66,4.53
Bf0a0aab8,1.94/1.47,1.62,2.91
B124a37d2,0.75/2.79,2.47,4.18
B84b0a1d9,0.99/-0.08,4.49,5.59
Bd582722d,0.34/1.59,2.42,3.17
Bd8eaafaa,-0.28/0.67,3.53,3.32
Bfeb75cf1,1.28/2.66,1.76,3.83
B89ca1e8f,1.65/3.48,2.86,4.54
B47ad762b,1.19/1.07,2.73,5.27
Ba915c995,-0.35/1.59,3.97,2.99
B8d7f1a07,2.13/2.51,2.03,2.8
B17250bb7,0.85/2.2,4.47,5.81
Bccbd0ff4,-0.52/1.15,3.22,3.13
Bf45b85f7,-0.78/3.13,2.5,3.44
B263bba8a,-1.71/-1.04,2.14,3.89
B312b7a9e,0.93/1.27,4.69,3.03
B1a8c1441,0.76/2.36,3.25,3.53
B856e7468,1.84/2.17,1.75,4.27
B1f528759,1.93/2.91,2.65,4.08
B048abdcf,-0.3/3.38,3.61,5.27
B32213e8a,1.05/2.57,2.65,2.7
B090e9134,-0.18/2,1.85,3.63
B07496959,1.05/2.04,1.19,3.87
B39c97b08,0.01/1.51,5.63,4.57
Bb0b7709d,1.58/1.25,2.73,3.84
B2817ea86,-0.43/2.21,1.79,2.87
B88cc6925,2.1/1.32,1.99,3.78
B3e56bfd2,-0.92/1.68,1.81,3.68
B4be128f1,1.25/0.96,3.91,2.25
B5588c47f,2.69/4.39,1.96,6.77
B0d8a1484,0.98/2.3,4.72,2.96
B5963b037,2.53/3.58,3.39,3.93
B1374bbb0,0.12/2.17,3.24,3.45
B84426fae,0.92/1.83,3.45,3.77
Be4354c60,2.12/1.64,2.5,3.1
B98df1049,1.47/1.84,3.68,4.86
Bf8fc9752,2.45/1.31,4.17,4.97
B4cf0f46b,1.3/2.65,2.29,4.28
B4175cda4,1.55/0.38,3.82,3.47
B40a5518d,1.12/2.26,3.68,4.33
B19ab1e76,1.3/2.17,4.43,3.61
B5f91dd71,2.9/0.79,3.98,4.9
Ba7400081,0.27/-0.21,2.37,4.08
B79b73b49,2.59/0.91,2.08,3.36
B422aaee4,0.61/-0.06,1.92,4.11
Ba016f1a8,1.64/3.21,2.32,1.82
Be4f2680e,0.35/2.28,2.71,2.81
B0a72b92e,1.41/0.17,5.3,2.52
Bd62bf0f7,0.93/1.11,2.91,5.49
Bb1d907c3,0.76/2.07,3.39,4.07
B92a981da,1.98/2.96,1.76,4.7
B222b2d83,1.99/1.15,2.21,4.58
B32e9a243,-1.01/3.13,3.51,5.13
B5fe06e04,1.26/0.71,1.63,5.97
Cd9131ee9,1.4/1.85,4.18,4.66
C9c5988ea,0.5/3.32,2.78,3.98
C28a5479d,0.4/3.24,3.31,3.56
Caf5537cc,1.12/1.94,1.39,3.89
C370958bd,2.13/2.37,4.19,4.61
Cea997e13,1.07/0.46,3.27,2.97
C3563646f,0.85/0.82,3.97,4.27
C9b3cfdba,0.32/-0.68,2.23,4.84
C32b6737a,-0.14/3.24,6.35,4.17
C30e96748,2.2/3.22,3.61,2.77
C7dd233f9,0.66/0.87,3.75,6.01
Cfca2f470,1.32/0.39,2.29,4.7
Cd4959020,0.27/2.94,3.31,5.44
C789f32a4,1.18/1.78,3.17,4.04
Cbedf5b36,0.23/1.21,1.65,4.44
C05582fba,2.83/3.6,4.25,4.65
Ca976f585,2.12/2.82,2.37,5.19
C59e5808a,-0.25/2.57,3.61,3.12
Cf3f55603,2.67/1.78,1.52,3.03
C6d20803d,1.8/0.88,3.28,3.27
C690671d8,1.43/1.52,3.79,4.73
Cf8a97049,0.08/2.36,3.35,3.67
C64a7ccde,1.01/3.35,3.98,5.8
C521ca32c,1.01/2.04,3.04,1.78
C46fd1e49,2.64/4.07,3,3.6
C9517ecf8,3.07/2.06,3.25,4.46
C520c9b4d,2.19/1.46,2.15,3.68
C5d130d1e,0.85/1.35,2.58,3.32
Cf653812d,1.35/2.2,3.67,4.2
C6659ac2c,1.02/2.78,3.49,3.71
Ced69d2d2,2.8/2.89,3.46,3.28
C54debc74,2.39/2.65,3.42,3.72
C9eb627e2,0.67/1.92,4.54,3.06
C650ddad8,0.59/1.71,4.58,4.12
C5ed05d74,1.05/1.5,3.11,3.8
C9d9c7a23,0.15/3.11,1.65,4.46
Cc14eab0a,-0.28/2.55,2.5,4.9
C15852371,1.01/1.85,2.45,5.83
Cb9dbbcaa,0.61/1.79,1.45,3.6
C8800cd50,-2.08/3.76,2.62,3.13
C13d1c7ec,1.44/1.76,3.06,4.72
Cc393511f,0.85/0.44,2.79,4.38
C964e53a6,-0.46/1.3,2.9,3.72
C9e13ae46,1.23/2.92,1.61,4.51
Cfe7b6b8a,0.64/3.26,2.42,3.2
C1a2ee361,1.46/2.21,3.5,3.49
C20039d82,1.3/3.29,5.05,3.64
Cd253386c,-0.12/1.62,2.72,4.33
C07067f70,0.51/2.05,5.08,1.54
C914f2b19,1.24/2.25,2.9,2.79
C96ae8f9a,0.23/1.96,4.2,5.09
C1eccb286,0.52/2.37,4.46,2.81
C31d59c48,0.73/-0.25,3.47,3.34
C4c0d3b4e,1.5/1.46,2.31,5.19
C24553b07,1.16/1.4,1.43,4.18
C142871d2,1.07/1.82,4.13,2.54
C069ae593,0.7/0.6,2.33,4.73
C4eb83053,-0.22/3,3.24,2.6
Ce5215245,-0.16/-0.61,2.71,3.49
C8f55fe97,2.52/2.52,3.03,2.86
C51d2776c,1.96/1.24,2.15,4.49
Ceb2419b4,0.98/2.39,5.77,4.55
Cdb01ec07,2.42/2.14,2.11,3.6
C35fecb17,-0.48/2.35,3.29,3.92
C63bcab07,-0.46/2.5,3.41,5.02
Ca1e67692,1.19/2,1.61,4.65
Cadb58152,0.82/1.64,2.27,4.55
C68505682,1.43/3.23,2.77,4.13
C6385c43b,-0.18/1.91,5.02,3.31
C541b1455,-0.35/2.09,3.15,3.78
Cf8964579,1.13/1.85,3.45,4.56
C640f58dc,0.96/2.53,4.11,4.04
C66934ac0,1.43/3.13,4.99,4.49
C73b3b08f,3.06/0.64,2.93,4.1
C6f03005d,1.51/1.43,3.44,3.41
C0a451d97,-0.31/1.12,5.2,3.72
C76210601,1.81/-0.1,3.5,5.36
Cc8b4476f,0.56/-0.99,3.38,2.92
C836406ef,2.58/1.33,3.74,2.8
Cee9f2101,0.5/0.78,5.78,3.7
C9d853f4d,0/1.19,2.06,4.3
C92381c2f,1.72/0.76,3.87,0.38
C7d605343,-0.29/1.48,0.94,5.02
C263156da,1.51/2.07,2.5,3.46
C45f21eea,0.98/1.47,4.08,3.79
Cae37a5f2,0.35/2.96,2.83,5.49
Ce5297345,2.02/1.75,1.63,3.66
Caaff23b6,1.36/1.72,3.41,5.56
Ca4962bed,1.84/1.55,2.01,3.48
